Date,Price
6/7/2017,1010.07
6/6/2017,1003
6/5/2017,1011.34
6/2/2017,1006.73
6/1/2017,995.95
5/31/2017,994.62
5/30/2017,996.7
5/26/2017,995.78
5/25/2017,993.38
5/24/2017,980.35
5/23/2017,971.54
5/22/2017,970.67
5/19/2017,959.84
5/18/2017,958.49
5/17/2017,944.76
5/16/2017,966.07
5/15/2017,957.97
5/12/2017,961.35
5/11/2017,947.62
5/10/2017,948.95
5/9/2017,952.82
5/8/2017,949.04
5/5/2017,934.15
5/4/2017,937.53
5/3/2017,941.03
5/2/2017,946.94
5/1/2017,948.23
4/28/2017,924.99
4/27/2017,918.38
4/26/2017,909.29
4/25/2017,907.62
4/24/2017,907.41
4/21/2017,898.53
4/20/2017,902.06
4/19/2017,899.2
4/18/2017,903.78
4/17/2017,901.99
4/13/2017,884.67
4/12/2017,896.23
4/11/2017,902.36
4/10/2017,907.04
4/7/2017,894.88
4/6/2017,898.28
4/5/2017,909.28
4/4/2017,906.83
4/3/2017,891.51
3/31/2017,886.54
3/30/2017,876.34
3/29/2017,874.32
3/28/2017,856
3/27/2017,846.82
3/24/2017,845.61
3/23/2017,847.38
3/22/2017,848.06
3/21/2017,843.2
3/20/2017,856.97
3/17/2017,852.31
3/16/2017,853.42
3/15/2017,852.97
3/14/2017,852.53
3/13/2017,854.59
3/10/2017,852.46
3/9/2017,853
3/8/2017,850.5
3/7/2017,846.02
3/6/2017,846.61
3/3/2017,849.88
3/2/2017,848.91
3/1/2017,853.08
2/28/2017,845.04
2/27/2017,848.64
2/24/2017,845.24
2/23/2017,852.19
2/22/2017,855.61
2/21/2017,856.44
2/17/2017,845.07
2/16/2017,844.14
2/15/2017,842.7
2/14/2017,836.39
2/13/2017,836.53
2/10/2017,827.46
2/9/2017,821.36
2/8/2017,819.71
2/7/2017,812.5
2/6/2017,807.64
2/3/2017,810.2
2/2/2017,839.95
2/1/2017,832.35
1/31/2017,823.48
1/30/2017,830.38
1/27/2017,835.77
1/26/2017,839.15
1/25/2017,836.52
1/24/2017,822.44
1/23/2017,817.88
1/20/2017,808.33
1/19/2017,809.04
1/18/2017,807.48
1/17/2017,809.72
1/13/2017,817.14
1/12/2017,813.64
1/11/2017,799.02
1/10/2017,795.9
1/9/2017,796.92
1/6/2017,795.99
1/5/2017,780.45
1/4/2017,757.18
1/3/2017,753.67
12/30/2016,749.87
12/29/2016,765.15
12/28/2016,772.13
12/27/2016,771.4
12/23/2016,760.59
12/22/2016,766.34
12/21/2016,770.6
12/20/2016,771.22
12/19/2016,766
12/16/2016,757.77
12/15/2016,761
12/14/2016,768.82
12/13/2016,774.34
12/12/2016,760.12
12/9/2016,768.66
12/8/2016,767.33
12/7/2016,770.42
12/6/2016,764.72
12/5/2016,759.36
12/2/2016,740.34
12/1/2016,743.65
11/30/2016,750.57
11/29/2016,762.52
11/28/2016,766.77
11/25/2016,780.37
11/23/2016,780.12
11/22/2016,785.33
11/21/2016,780
11/18/2016,760.16
11/17/2016,756.4
11/16/2016,746.49
11/15/2016,743.24
11/14/2016,719.07
11/11/2016,739.01
11/10/2016,742.38
11/9/2016,771.88
11/8/2016,787.75
11/7/2016,784.93
11/4/2016,755.05
11/3/2016,767.03
11/2/2016,765.56
11/1/2016,785.41
10/31/2016,789.82
10/28/2016,776.32
10/27/2016,818.36
10/26/2016,822.59
10/25/2016,835.18
10/24/2016,838.09
10/21/2016,818.99
10/20/2016,810.32
10/19/2016,817.69
10/18/2016,817.65
10/17/2016,812.95
10/14/2016,822.96
10/13/2016,829.28
10/12/2016,834.09
10/11/2016,831
10/10/2016,841.71
10/7/2016,839.43
10/6/2016,841.66
10/5/2016,844.36
10/4/2016,834.03
10/3/2016,836.74
9/30/2016,837.31
9/29/2016,829.05
9/28/2016,828.72
9/27/2016,816.11
9/26/2016,799.16
9/23/2016,805.75
9/22/2016,804.7
9/21/2016,789.74
9/20/2016,780.22
9/19/2016,775.1
9/16/2016,778.52
9/15/2016,769.69
9/14/2016,761.09
9/13/2016,761.01
9/12/2016,771.49
9/9/2016,760.14
9/8/2016,784.06
9/7/2016,784.48
9/6/2016,788.87
9/2/2016,772.44
9/1/2016,770.62
8/31/2016,769.16
8/30/2016,767.58
8/29/2016,771.29
8/26/2016,769
8/25/2016,759.22
8/24/2016,757.25
8/23/2016,762.45
8/22/2016,759.48
8/19/2016,757.31
8/18/2016,764.46
8/17/2016,764.63
8/16/2016,764.04
8/15/2016,768.49
8/12/2016,772.56
8/11/2016,771.24
8/10/2016,768.56
8/9/2016,768.31
8/8/2016,766.56
8/5/2016,765.98
8/4/2016,760.77
8/3/2016,754.64
8/2/2016,760.58
8/1/2016,767.74
7/29/2016,758.81
7/28/2016,752.61
7/27/2016,736.67
7/26/2016,735.59
7/25/2016,739.61
7/22/2016,744.86
7/21/2016,744.43
7/20/2016,745.72
7/19/2016,739.95
7/18/2016,736.07
7/15/2016,735.44
7/14/2016,741.2
7/13/2016,742.63
7/12/2016,748.21
7/11/2016,753.78
7/8/2016,745.81
7/7/2016,736.57
7/6/2016,737.61
7/5/2016,728.1
7/1/2016,725.68
6/30/2016,715.62
6/29/2016,715.6
6/28/2016,707.95
6/27/2016,691.36
6/24/2016,698.96
6/23/2016,722.08
6/22/2016,710.6
6/21/2016,715.82
6/20/2016,714.01
6/17/2016,706.39
6/16/2016,717.51
6/15/2016,714.26
6/14/2016,719.3
6/13/2016,715.24
6/10/2016,717.91
6/9/2016,727.65
6/8/2016,726.64
6/7/2016,723.74
