Country,Freedom Rating,GDP Per Capita
Afghanistan,6,594.32
Albania,3,"3,945.22"
Algeria,5.5,"4,154.12"
Andorra,1,
Angola,6,"4,101.47"
Antigua and Barbuda,2,"13,714.73"
Argentina,2,"13,467.42"
Armenia,4.5,"3,489.13"
Australia,1,"56,290.65"
Austria,1,"43,636.75"
Azerbaijan,6.5,"5,497.49"
Bahamas,1,"22,817.23"
Bahrain,6.5,"22,600.21"
Bangladesh,4,"1,211.70"
Barbados,1,"15,429.34"
Belarus,6.5,"5,754.60"
Belgium,1,"40,454.17"
Belize,1.5,"4,878.72"
Benin,2,762.05
Bhutan,3.5,"2,656.00"
Bolivia,3,"3,076.79"
Bosnia-Herzegovina,3.5,"4,249.33"
Botswana,2.5,"6,360.14"
Brazil,2,"8,677.77"
Brunei,5.5,"30,554.73"
Bulgaria,2,"6,993.48"
Burkina Faso,3.5,589.77
Burundi,6.5,277.07
Cambodia,5.5,"1,158.69"
Cameroon,6,"1,217.26"
Canada,1,"43,315.70"
Central African Republic,7,323.2
Chad,6.5,775.7
Chile,1,"13,416.23"
China,6.5,"8,069.21"
Colombia,3.5,"6,056.15"
Comoros,3.5,717.45
Congo (Brazzaville),5.5,456.05
Congo (Kinshasa),6,"1,851.20"
Costa Rica,1,"11,260.09"
Cote d'Ivoire,4,"1,398.99"
Croatia,1.5,"11,592.91"
Cuba,6.5,"7,650.23"
Cyprus,1,"23,075.11"
Czech Republic,1,"17,556.92"
Denmark,1,"53,014.64"
Djibouti,5.5,"1,945.12"
Dominica,1,"7,116.39"
Dominican Republic,3,"6,468.47"
Ecuador,3,"6,205.06"
Egypt,5.5,"3,614.75"
El Salvador,2.5,"4,219.35"
Equatorial Guinea,7,"14,439.59"
Eritrea,7,
Estonia,1,"17,084.52"
Ethiopia,6.5,619.17
Fiji,3,"4,960.52"
Finland,1,"42,403.47"
France,1,"36,352.48"
Gabon,5.5,"8,266.45"
"Gambia, The",6.5,471.54
Georgia,3,"3,757.06"
Germany,1,"41,178.46"
Ghana,1.5,"1,369.70"
Greece,2,"18,006.97"
Grenada,1.5,"9,212.02"
Guatemala,4,"3,903.48"
Guinea,5,531.32
Guinea-Bissau,5,572.99
Guyana,2.5,"4,127.35"
Haiti,5,818.34
Honduras,4,"2,528.89"
Hungary,2,"12,365.63"
Iceland,1,"50,722.00"
India,2.5,"1,593.26"
Indonesia,3,"3,346.49"
Iran,6,
Iraq,5.5,"4,943.76"
Ireland,1,"61,093.69"
Israel,1.5,"35,729.37"
